Video ID,Video URL,Date Posted,Caption,Views,Likes,Comments,Shawn Seconds,Total Seconds,Dominant Emotion,Emotion Confidence,Day Uploaded,Screen Time Percentage,Engagement Rate,Like-to-Comment Ratio,Weekday vs. Weekend Upload,Time Since Upload,Views per Day,Processed,Dominant_Topic,Topic_Label
7002788353783434497,https://www.tiktok.com/@shawnlemuel/video/7002788353783434497,2021-09-01 10:35:00,Nothing like endorphins 💪,991.0,10.0,0.0,0,12.6,sadness,0.9916713237762452,2021-09-01,0.0,1.01,0.0,0,1326.0,0.75,['endorphin'],6,let_singapore_feature
7002789394994236674,https://www.tiktok.com/@shawnlemuel/video/7002789394994236674,2021-09-01 10:39:00,"Sometimes, we scroll too much 📜",1095.0,6.0,0.0,0,14.2,anger,0.2915484607219696,2021-09-01,0.0,0.55,0.0,0,1326.0,0.83,['scroll'],5,good_singapore_lechon
7003183961660771586,https://www.tiktok.com/@shawnlemuel/video/7003183961660771586,2021-09-02 12:10:00,Giving feels awesome 💪,1292.0,11.0,0.0,0,10.466666666666669,anger,0.2915484607219696,2021-09-02,0.0,0.85,0.0,0,1325.0,0.97,"['giving', 'feel', 'awesome']",3,singapore_good_food
7003188807923223809,https://www.tiktok.com/@shawnlemuel/video/7003188807923223809,2021-09-02 12:29:00,Mindfulness has Power 💥,1398.0,13.0,0.0,0,9.933333333333334,anger,0.2915484607219696,2021-09-02,0.0,0.93,0.0,0,1325.0,1.05,"['mindfulness', 'power']",1,mala_follow_grille
7003189629818014977,https://www.tiktok.com/@shawnlemuel/video/7003189629818014977,2021-09-02 12:32:00,Let's be gracious ❤️,1585.0,12.0,0.0,0,7.6,joy,0.9988592863082886,2021-09-02,0.0,0.76,0.0,0,1325.0,1.2,"['let', 'gracious']",0,singapore_udon_pork
7014796375292382465,https://www.tiktok.com/@shawnlemuel/video/7014796375292382465,2021-10-03 19:12:00,Words of wisdom #sgtiktok #sg #fyp,995000.0,0.0,573.0,0,62.68,joy,0.9980617165565492,2021-10-03,0.0,0.06,0.0,1,1294.0,768.34,"['word', 'wisdom']",5,good_singapore_lechon
7014865683179654401,https://www.tiktok.com/@shawnlemuel/video/7014865683179654401,2021-10-03 23:41:00,Here's one method to satisfaction 😘#fyp #oprah #positive,1828.0,30.0,0.0,0,21.96,joy,0.9617164134979248,2021-10-03,0.0,1.64,0.0,1,1293.0,1.41,"['here', 'method', 'satisfaction']",0,singapore_udon_pork
7015011548942912769,https://www.tiktok.com/@shawnlemuel/video/7015011548942912769,2021-10-04 09:07:00,How does #Conan cry wealthy tears? 😂 #fyp #positive #sgtiktok,2142.0,28.0,0.0,0,77.88,joy,0.5524376034736633,2021-10-04,0.0,1.31,0.0,0,1293.0,1.66,"['cry', 'wealthy', 'tear']",3,singapore_good_food
7015023118641040641,https://www.tiktok.com/@shawnlemuel/video/7015023118641040641,2021-10-04 09:52:00,"Succor failure, both are equally possible. Let's keep trying ❤️💪#jfs #positive #fyp #elon",2107.0,35.0,2.0,0,21.16,joy,0.998596727848053,2021-10-04,0.0,1.76,17.5,0,1293.0,1.63,"['succor', 'failure', 'possible', 'let', 'try']",6,let_singapore_feature
7015034600481197314,https://www.tiktok.com/@shawnlemuel/video/7015034600481197314,2021-10-04 10:37:00,Just have fun! ❤️💯 #jfs #positive #hughjackman #fyp,2066.0,31.0,0.0,0,27.44,fear,0.9842903017997742,2021-10-04,0.0,1.5,0.0,0,1293.0,1.6,['fun'],1,mala_follow_grille
